neighbourhood,stadsdeel,lat,long
Noord-West,Noord,52.40687754769115,4.9052880357680175
Noord-West,Noord,52.418130453500545,4.9025877333871275
Noord-West,Noord,52.42427530026133,4.887210760565971
Noord-West,Noord,52.418653210169865,4.904576679988133
Noord-West,Noord,52.42376201648039,4.884894402897245
Noord-West,Noord,52.40711686965244,4.90413624918011
Noord-West,Noord,52.42269788839402,4.886315504160142
Noord-West,Noord,52.424255135361236,4.891527302976822
Noord-West,Noord,52.40562709871593,4.911143657695628
Noord-West,Noord,52.42259844796973,4.88500960524691
Noord-West,Noord,52.40721932445757,4.910214093396073
Noord-West,Noord,52.413204633568284,4.885024005844777
Noord-West,Noord,52.402251933685214,4.9178750656772054
Noord-West,Noord,52.41531332840474,4.899706183351682
Noord-West,Noord,52.41715824012287,4.900555602950613
Noord-West,Noord,52.41433433174819,4.920143425413394
Noord-West,Noord,52.42282698575084,4.892090239033956
Noord-West,Noord,52.410178082608844,4.906253052129276
Noord-West,Noord,52.40619609262304,4.907385632250181
Noord-West,Noord,52.40557812300984,4.903993066485962
Noord-West,Noord,52.40201336541028,4.916676068812221
Noord-West,Noord,52.41340396260742,4.881382931747115
Noord-West,Noord,52.40267311149734,4.908896113582384
Noord-West,Noord,52.41400236456247,4.889738567123603
Noord-West,Noord,52.40914743243077,4.890403828797756
Noord-West,Noord,52.40420675024412,4.908045775477179
Noord-West,Noord,52.416626686183946,4.904633161958212
Noord-West,Noord,52.422232173421996,4.890982224849556
Noord-West,Noord,52.406955582829696,4.900570237556294
Noord-West,Noord,52.40605139679166,4.900400920539482
Noord-West,Noord,52.404403447884995,4.920124036874879
Noord-West,Noord,52.406545276883165,4.910108772952114
Noord-West,Noord,52.41835967898771,4.90111444750572
Noord-West,Noord,52.41174995874547,4.888012588643039
Noord-West,Noord,52.41849887855857,4.901440020570259
Noord-West,Noord,52.40116131878259,4.9207761366961495
Noord-West,Noord,52.41772083826688,4.90569321162192
Noord-West,Noord,52.41782159631563,4.905628972419358
Noord-West,Noord,52.424640564014645,4.888650870684711
Noord-West,Noord,52.41449530987744,4.8840546217343945
Noord-West,Noord,52.41033801617976,4.908039962107901
Noord-West,Noord,52.4090255068906,4.901030296197062
Oud-Noord,Noord,52.39737502471653,4.916374728827196
Oud-Noord,Noord,52.39158728959061,4.912179167587942
Oud-Noord,Noord,52.38175995939832,4.91202893138177
Oud-Noord,Noord,52.39640724213098,4.91788221875362
Oud-Noord,Noord,52.395528973322484,4.903821695749292
Oud-Noord,Noord,52.399648009598025,4.913365663316753
Oud-Noord,Noord,52.395864526589385,4.916460677927028
Oud-Noord,Noord,52.38181532661295,4.91056485725299
Oud-Noord,Noord,52.38661427829475,4.93043979652914
Oud-Noord,Noord,52.391989976802044,4.909104547561537
Oud-Noord,Noord,52.389113286415636,4.925829635417266
Oud-Noord,Noord,52.38703413875073,4.918724676918221
Oud-Noord,Noord,52.40012527788454,4.915369686439601
Oud-Noord,Noord,52.3882026657868,4.931946200585376
Oud-Noord,Noord,52.39251060425531,4.933577979102735
Oud-Noord,Noord,52.399842484785275,4.892155417626385
Oud-Noord,Noord,52.383844072322184,4.916932522378606
Oud-Noord,Noord,52.38433684442626,4.916335744601309
Oud-Noord,Noord,52.399730430606894,4.8937170057745565
Oud-Noord,Noord,52.385029945321456,4.905569533177204
Oud-Noord,Noord,52.39162822802453,4.908967767091873
Oud-Noord,Noord,52.38878195380269,4.902897426604293
Oud-Noord,Noord,52.385986509816554,4.931325445888218
Oud-Noord,Noord,52.389368228158645,4.928450409855984
Oud-Noord,Noord,52.3855264404277,4.9238679715093685
Oud-Noord,Noord,52.392444720340286,4.929416027295086
Oud-Noord,Noord,52.389507600672054,4.926226247684206
Oud-Noord,Noord,52.38056144480534,4.908928115177394
Oud-Noord,Noord,52.402146253498124,4.891266131904138
Oud-Noord,Noord,52.38138485626044,4.914919887444439
Oud-Noord,Noord,52.39260462200346,4.937367153038462
Oud-Noord,Noord,52.38539900051123,4.90196587834147
Oud-Noord,Noord,52.389936899474016,4.917846048134005
Oud-Noord,Noord,52.38955520097957,4.927939151854272
Oud-Noord,Noord,52.39202606193215,4.926286078205849
Oud-Noord,Noord,52.392036652419385,4.930434542369163
Oud-Noord,Noord,52.39186597916509,4.926739733753507
Oud-Noord,Noord,52.39362902048122,4.928866614352339
Oud-Noord,Noord,52.39101496282422,4.907881869122837
Oud-Noord,Noord,52.39270212525144,4.9150919412191785
Oud-Noord,Noord,52.38557275732181,4.901371425867159
Oud-Noord,Noord,52.38211707065702,4.905728168273442
Oud-Noord,Noord,52.3861178545353,4.918479990050836
Oud-Noord,Noord,52.389157082301224,4.923097274645717
Oud-Noord,Noord,52.3928801352788,4.9136047659058635
Oud-Noord,Noord,52.389066435327756,4.909290063440785
Oud-Noord,Noord,52.390122440432144,4.93929121658668
Oud-Noord,Noord,52.383858660744764,4.90908885353559
Oud-Noord,Noord,52.389019723570435,4.940557644933563
Oud-Noord,Noord,52.389909378357075,4.937679637160758
Oud-Noord,Noord,52.40029891903318,4.919604222933842
Oud-Noord,Noord,52.39883861193617,4.9186145664016445
Oud-Noord,Noord,52.39949673592611,4.916871943813084
Oud-Noord,Noord,52.40060447072579,4.917832421699395
Oud-Noord,Noord,52.390487197018075,4.910297079574144
Oud-Noord,Noord,52.39506172452395,4.915947027280023
Oud-Noord,Noord,52.38938616903873,4.907732835560299
Oud-Noord,Noord,52.383570735294064,4.918103907969512
Oud-Noord,Noord,52.39396145427965,4.910588372171414
Oud-Noord,Noord,52.387498185868466,4.917940379297487
Oud-Noord,Noord,52.384098196068464,4.91443573433384
Oud-Noord,Noord,52.38977363587362,4.917445974540389
Oud-Noord,Noord,52.38869809896157,4.940432426042432
Oud-Noord,Noord,52.398344257650784,4.916268926324222
Oud-Noord,Noord,52.39012310274217,4.9136137818391115
Oud-Noord,Noord,52.386267101313,4.950061833501516
Oud-Noord,Noord,52.39773354141472,4.914819174689309
Oud-Noord,Noord,52.39043946755182,4.928993010920616
Oud-Noord,Noord,52.38439346391015,4.916680440924061
Oud-Noord,Noord,52.40113008717063,4.898800550493317
Oud-Noord,Noord,52.39327488106994,4.9307465449320445
Oud-Noord,Noord,52.38753548671514,4.94600843107187
Oud-Noord,Noord,52.382374786346865,4.918627923365682
Oud-Noord,Noord,52.40061389731178,4.914327555315633
Oud-Noord,Noord,52.399803350690384,4.89381956358286
Oud-Noord,Noord,52.394785585096535,4.91722223998702
Oud-Noord,Noord,52.392488884607616,4.932188680917573
Oud-Noord,Noord,52.400754352270106,4.898655673911778
Oud-Noord,Noord,52.39210469135602,4.943757446142249
